relative_humidity,temperature,exhaust_vacuum,ambient_pressure
76.34,20.02,67.32,1012.05
67.3,10.08,40.72,1022.7
52.38,27.23,66.48,1005.23
76.44,23.37,63.77,1013.42
91.55,18.74,59.21,1018.3
71.9,14.81,43.69,1017.19
80.05,23.1,51.3,1011.93
63.77,10.72,41.38,1021.6
62.26,29.46,71.94,1006.96
89.04,8.1,40.64,1020.66
58.02,27.29,62.66,1007.63
81.82,17.1,49.69,1005.53
91.14,11.49,44.2,1018.79
88.92,23.69,65.59,1010.85
84.83,13.51,40.89,1011.03
91.76,9.64,39.35,1015.1
86.56,25.65,78.92,1010.83
57.21,21.59,61.87,1011.18
54.25,27.98,58.33,1013.92
63.8,18.8,39.72,1001.24
33.71,18.28,44.71,1016.99
67.25,13.55,43.48,1016.08
60.11,22.99,46.21,1010.71
74.55,23.94,59.39,1014.32
67.34,13.74,34.03,1018.69
42.75,21.3,41.1,1001.86
55.2,27.54,66.93,1017.06
83.61,24.81,63.73,1009.34
88.78,4.97,42.85,1014.02
100.12,15.22,50.88,1014.19
64.52,23.88,54.2,1012.81
51.41,33.01,68.67,1005.2
85.78,25.98,73.18,1012.28
75.41,28.18,73.88,1005.89
81.63,21.67,60.84,1017.93
51.92,17.67,45.09,1014.26
70.12,21.37,57.76,1018.8
53.83,28.69,67.25,1017.71
77.23,16.61,43.77,1012.25
65.67,27.91,63.76,1010.27
71.18,20.97,47.43,1007.64
81.96,10.8,41.66,1013.79
79.54,20.61,62.91,1013.24
47.09,25.45,57.32,1011.7
57.69,30.16,69.34,1007.67
78.89,4.99,39.04,1020.45
85.29,10.51,44.78,1012.59
40.13,33.79,69.05,1001.62
77.06,21.34,59.8,1016.92
67.38,23.4,65.06,1014.32
62.44,32.21,68.14,1003.34
77.43,14.26,42.32,1016
58.77,27.71,66.93,1016.85
67.72,21.95,57.76,1018.02
42.14,25.76,63.94,1018.49
84.16,23.68,68.3,1017.93
89.79,8.28,40.77,1011.55
67.21,23.44,62.52,1016.46
72.14,25.32,48.41,1008.47
97.49,3.94,39.9,1008.06
87.74,17.3,57.76,1016.26
96.3,18.2,49.39,1018.83
61.25,21.43,46.97,1013.94
88.38,11.16,40.05,1014.95
74.77,30.38,74.16,1007.44
68.18,23.36,62.52,1016.18
77.2,21.69,47.45,1007.56
49.54,23.62,49.21,1014.1
92.22,21.87,61.45,1011.13
33.65,29.25,66.51,1015.53
64.59,20.03,66.86,1013.05
100.09,18.14,49.78,1002.95
68.04,24.23,56.89,1012.32
48.94,18.11,44.85,1014.48
74.47,6.57,43.65,1018.24
81.02,12.56,43.41,1016.93
71.17,13.4,41.58,1020.5
53.85,27.1,52.84,1006.28
70.67,14.28,42.74,1028.79
59.36,16.29,44.34,1019.49
57.17,31.24,71.98,1004.66
70.29,10.57,37.73,1024.36
83.37,13.8,44.21,1022.93
87.36,25.3,71.58,1010.18
100.09,18.06,50.16,1009.52
68.78,25.42,59.04,1011.98
70.98,15.07,40.69,1015.29
75.68,11.75,71.14,1019.36
47.49,20.23,52.05,1012.15
71.99,27.31,59.54,1006.24
66.55,28.57,69.84,1003.57
74.73,17.9,43.72,1008.64
64.78,23.83,71.37,1002.04
75.13,27.92,74.99,1005.47
56.38,17.34,44.78,1007.81
94.35,17.94,63.07,1012.42
86.55,6.4,39.9,1007.75
82.95,11.78,39.96,1011.37
88.42,20.28,57.25,1010.12
85.61,21.04,54.2,1012.26
58.39,25.11,67.32,1014.49
74.28,30.28,70.98,1007.51
87.85,8.14,36.24,1013.15
83.5,16.86,39.63,1004.47
65.24,6.25,40.07,1020.19
75.01,22.35,54.42,1012.46
84.52,17.98,56.85,1012.28
80.52,21.19,42.48,1013.43
75.14,20.94,44.89,1009.64
75.75,24.23,58.79,1009.8
76.72,19.18,58.2,1017.46
85.47,20.88,57.85,1012.39
57.95,23.67,63.86,1019.67
78.32,14.12,39.52,1018.41
52.2,25.23,64.63,1020.59
93.69,6.54,39.33,1011.54
75.74,20.08,62.52,1017.99
67.56,24.67,63.56,1013.75
69.46,27.82,79.74,1008.37
74.58,15.55,42.03,1017.41
53.23,24.26,69.51,1013.43
88.72,13.45,41.49,1020.19
96.16,11.06,40.64,1021.47
68.26,24.91,52.3,1008.72
86.39,22.39,59.04,1011.78
85.34,11.95,40.69,1015.62
72.64,14.85,40.69,1014.91
97.82,10.11,41.62,1017.17
77.22,23.67,68.67,1006.71
80.59,16.14,44.21,1020.36
46.91,15.11,43.13,1014.99
57.76,24.14,59.87,1018.47
53.09,30.08,67.25,1017.6
84.31,14.77,44.9,1020.5
71.58,27.6,69.34,1009.63
92.97,13.89,44.84,1023.66
74.55,26.85,75.6,1017.43
78.96,12.41,40.96,1023.36
64.44,13.08,41.74,1020.75
68.23,18.93,44.06,1017.58
70.81,20.5,49.69,1009.6
61.66,30.72,69.13,1009.94
77.76,7.55,39.22,1014.53
69.49,13.49,44.47,1030.46
96.26,15.62,40.12,1013.03
55.74,24.8,64.63,1020.69
95.61,10.03,41.62,1014.55
84.75,22.43,63.21,1012.06
75.3,14.95,39.31,1009.15
67.5,24.78,58.46,1016.82
80.92,23.2,48.41,1008.64
79.23,14.01,39,1016.73
81.1,19.4,64.63,1020.38
32.8,30.15,67.32,1013.83
84.31,6.91,36.08,1021.82
46.15,29.04,60.07,1015.42
53.96,26.02,63.07,1010.94
59.83,5.89,39.48,1005.11
75.3,26.52,71.64,1008.27
42.53,28.53,68.08,1013.27
70.58,16.59,39.54,1007.97
91.69,22.95,67.79,1009.89
63.55,23.96,47.43,1008.38
61.51,17.48,44.2,1018.89
69.55,6.69,43.65,1020.14
98.08,10.25,41.26,1007.44
79.34,28.87,72.58,1008.69
81.28,12.04,40.23,1018.07
78.99,22.58,52.3,1009.04
80.38,15.12,52.05,1014.63
51.16,25.48,58.95,1017.02
72.17,27.87,70.79,1003.96
75.39,23.72,70.47,1010.65
68.91,25,59.43,1007.84
96.38,8.42,40.64,1022.35
70.54,22.46,58.49,1011.5
45.8,29.92,57.19,1008.62
57.95,11.68,39.22,1017.9
81.89,14.04,42.44,1012.74
69.32,19.86,59.14,1016.12
59.14,25.99,68.08,1013.13
81.54,23.42,58.79,1009.74
85.81,10.6,40.22,1011.37
65.41,20.97,61.87,1011.45
81.15,14.14,39.82,1012.46
95.87,8.56,40.71,1021.27
90.24,24.86,72.39,1001.15
75.13,29,77.54,1011.33
88.22,27.59,71.97,1008.64
81.48,10.45,40.71,1015.68
89.84,8.51,40.78,1023.51
43.57,29.82,66.51,1010.98
63.16,22.56,62.26,1012.11
57.14,11.38,39.22,1018.62
77.76,20.25,57.76,1016.28
90.56,22.42,59.43,1007.12
60.98,14.85,38.91,1014.48
70.31,25.62,58.82,1010.02
74.05,19.85,56.53,1020.57
75.42,13.67,54.3,1015.92
82.25,24.39,70.72,1009.78
67.95,16.07,44.58,1019.52
100.09,11.6,39.1,1009.81
47.28,31.38,70.83,1010.35
72.41,29.91,76.86,998.59
77.67,19.67,59.39,1014.07
63.7,27.18,64.79,1016.27
79.77,21.39,52.3,1009.2
93.84,10.45,41.01,1020.57
84.95,19.46,56.89,1014.02
70.16,23.55,62.96,1020.16
84.24,23.35,63.47,1011.78
73.32,9.26,41.66,1016.87
86.17,10.3,41.46,1018.21
65.43,20.94,58.16,1016.88
94.59,23.13,71.25,1002.49
86.8,12.77,41.5,1014.13
58.18,28.29,69.13,1009.29
89.66,19.13,59.21,1018.32
87.39,24.44,73.5,1011.49
36.35,20.32,44.6,1015.16
79.62,20.54,69.05,1001.6
50.52,12.16,45,1021.51
51.96,28.09,65.27,1013.27
74.73,9.25,41.82,1033.25
78.33,21.75,49.82,1015.01
85.19,23.7,66.56,1002.07
83.13,16.22,37.87,1022.36
53.49,24.75,69.45,1013.97
88.86,10.48,39.58,1011.81
60.89,29.53,70.79,1003.7
61.14,12.59,39.72,1017.76
68.29,23.5,54.42,1012.31
57.62,29.01,66.56,1006.44
83.63,9.75,42.49,1010.57
78.1,19.55,56.53,1020.2
66.34,21.05,58.33,1013.14
79.02,24.72,68.67,1006.74
68.96,21.19,58.86,1014.19
71.13,10.77,41.54,1019.94
87.01,28.68,73.77,1004.72
74.3,29.87,73.91,1004.53
77.62,22.99,68.67,1006.65
59.56,24.66,60.29,1018
41.66,32.63,69.89,1013.85
73.27,31.38,72.29,1008.73
77.16,23.87,60.27,1018.94
67.02,25.6,59.15,1013.31
52.8,27.62,71.14,1011.6
39.04,30.1,67.45,1014.23
65.47,12.19,41.17,1019.43
74.32,13.11,41.58,1020.43
69.22,28.29,68.67,1005.46
93.88,13.45,40.73,1018.7
69.83,10.98,41.54,1019.94
84.11,26.48,69.14,1009.31
78.65,13.07,45.51,1015.22
69.31,25.56,75.6,1017.37
70.3,22.68,50.78,1008.83
68.23,28.86,73.67,1006.65
71.76,22.7,63.56,1014.32
85.88,27.89,73.21,1001.32
71.09,13.78,44.47,1027.94
52.67,28.14,51.43,1012.16
89.68,11.8,45.09,1013.21
73.66,10.71,39.61,1018.72
58.94,24.54,60.29,1017.42
87.05,11.54,40.05,1014.78
67,29.47,71.32,1008.07
43.18,29.24,69.05,1003.12
80.62,14.51,41.79,1009.72
59.72,22.91,60.07,1016.03
72.1,27.02,71.77,1006.38
69.15,13.49,44.47,1030.18
55.66,30.24,66.75,1017.95
61.19,23.19,48.6,1002.38
74.62,17.73,40.55,1003.36
73.35,18.62,61.27,1019.26
68.85,12.85,40,1015.89
39.89,32.33,69.68,1011.95
53.16,25.09,58.95,1016.99
52.97,29.45,69.13,1009.3
79.87,16.91,43.96,1013.32
84.09,14.09,45.87,1009.05
100.15,10.73,25.36,1009.35
79.77,23.2,49.3,1003.4
88.99,8.21,38.91,1015.82
76.14,9.3,40.56,1022.64
69.13,16.97,39.16,1005.7
93.03,23.69,71.97,1009.62
77.92,25.13,59.44,1012.38
74.89,9.86,43.56,1015.13
88.7,11.33,41.5,1013.58
62.94,26.95,48.41,1008.53
89.62,15,40.66,1016.28
81.04,20.76,62.52,1015.63
94.53,14.29,39.59,1010.93
64.02,19.74,67.71,1007.68
70.57,26.68,59.92,1009.94
70.32,14.24,41.4,1019.7
84.86,21.98,48.41,1008.42
81.41,22.75,59.39,1015.4
89.45,8.34,40.96,1023.28
82.71,11.8,41.2,1017.18
93.93,8.81,44.68,1023.06
70.6,30.05,73.68,1014.95
87.68,16.01,65.46,1014
87.58,21.75,58.79,1012.42
74.4,13.94,41.26,1021.67
67.35,29.25,69.13,1010.27
63.61,22.33,45.87,1007.8
76.89,16.43,41.79,1005.47
78.08,11.5,40.22,1010.31
69.17,23.53,68.94,1007.53
53.31,21.86,49.21,1014.61
93.32,6.17,39.33,1012.57
42.47,30.19,64.79,1017.22
82.58,11.67,41.93,1019.81
94.59,15.34,36.99,1007.87
86.31,11.5,40.78,1023.91
72.57,25.53,57.17,1010
80.76,21.27,57.5,1014.53
71.93,28.37,69.13,1010.44
47.54,28.39,51.43,1011.74
95.72,13.78,45.78,1025.27
77.03,14.6,42.32,1015.71
80.49,5.1,35.57,1027.17
77.67,7,38.08,1020.27
78.72,26.3,77.95,1009.45
58.77,30.56,71.98,1004.74
74.8,21.09,46.63,1013.03
51.34,28.21,70.02,1010.58
90.41,15.84,49.69,1015.14
91.1,10.03,40.96,1024.57
62.57,20.37,52.05,1012.34
84.27,21.19,50.16,1005.81
42.93,33.73,69.88,1007.21
40.96,29.87,73.68,1015.1
76.53,19.62,62.96,1020.76
69.74,9.93,40.67,1018.08
74.99,9.43,37.14,1013.03
70.45,14.24,39.58,1011.17
91.49,12.97,49.83,1008.69
88.97,7.6,41.04,1021.82
89.13,8.39,36.24,1013.39
46.52,25.41,48.06,1013.12
60.55,18.43,56.03,1020.41
88.71,10.31,39.82,1012.87
89.15,11.29,41.5,1013.39
83.02,22.61,49.3,1003.51
75.19,29.34,71.98,1005.19
87.35,18.87,67.71,1004
85.66,13.21,45.87,1008.58
91.66,11.3,44.6,1018.19
63.47,29.23,72.99,1007.04
72.25,27.76,69.4,1004.27
70.58,29.26,67.17,1006.6
60.1,25.72,49.82,1016.19
89.29,23.43,63.94,1010.64
67.43,25.6,63.76,1010.18
67.58,22.3,44.57,1008.48
70.8,27.91,72.24,1010.74
63.62,30.35,77.17,1009.55
66.68,21.78,47.43,1007.88
90.76,7.19,41.39,1018.12
75.34,20.88,59.8,1015.66
59.77,24.19,50.23,1015.73
80.79,9.98,41.54,1019.7
74.1,23.47,51.3,1011.89
41.34,26.35,49.5,1012.67
58.78,29.89,64.69,1006.37
97.78,19.29,50.16,1010.49
74.85,17.48,43.14,1018.68
69.84,25.21,75.6,1017.19
75.36,23.3,48.78,1018.17
85.8,15.42,37.85,1009.89
90.11,21.44,63.09,1016.56
61.63,29.45,68.27,1007.96
44.76,29.69,47.93,1002.85
89.7,15.52,36.99,1006.86
72.51,11.47,43.67,1012.68
74.98,9.77,34.69,1027.72
79.59,22.6,69.84,1006.37
78.42,8.24,39.61,1017.99
61.23,17.01,44.2,1019.18
47.56,19.64,44.6,1015.88
93.06,10.61,41.58,1021.08
89.65,12.04,40.1,1014.42
50.5,29.19,65.71,1013.85
44.84,21.75,45.09,1014.15
85.32,23.66,77.54,1008.5
82.94,27.05,75.33,1003.88
67.26,29.63,69.71,1009.04
79.05,18.2,39.63,1005.35
62.03,32.22,70.8,1009.9
94.36,26.88,73.56,1004.85
60.02,29.05,65.74,1013.29
95.46,8.9,39.96,1026.31
84.92,18.93,48.6,1005.72
62.8,27.49,63.76,1010.09
90.81,23.1,70.79,1006.53
80.9,11.22,43.13,1017.24
55.84,31.97,79.74,1007.03
75.3,13.32,43.22,1009.45
37.34,31.68,68.24,1005.29
79.5,23.69,63.77,1013.39
87.29,13.83,41.49,1020.11
81.5,18.32,66.51,1015.18
76.42,11.05,40.71,1024.91
75.75,22.03,64.69,1007.21
84.95,10.23,41.46,1020.45
62.37,23.92,66.54,1009.93
49.25,29.38,69.68,1011.35
74.16,17.35,42.86,1014.62
90.55,9.81,44.45,1021.19
94.28,4.97,40.64,1020.91
63.31,5.15,40.07,1012.27
78.9,21.54,58.49,1010.85
90.97,7.94,42.02,1006.22
87.34,18.77,50.66,1014.89
80.8,21.69,69.94,1010.7
90.95,10.07,44.68,1023.44
69.97,13.83,39.64,1012.52
89.45,10.45,39.69,1003.92
76.08,11.56,40.71,1015.85
83.35,23.64,70.04,1011.09
92.16,10.48,40.22,1004.81
58.42,13.09,39.85,1012.86
85.06,10.67,40.23,1017.75
88.91,12.57,39.16,1016.53
83.33,14.45,43.34,1015.47
88.49,14.22,37.85,1011.24
96.88,6.97,41.26,1010.6
73.86,20.61,63.86,1015.43
65.17,14.67,42.28,1007.21
69.41,29.06,72.86,1004.23
81.23,14.38,40.1,1015.51
54.07,32.51,69.98,1013.29
89.17,11.79,45.09,1013.16
78.85,8.65,40.56,1023.23
84.44,9.75,40.81,1026
83.02,9.11,40.02,1031.1
90.66,23.39,69.13,1010.99
75.29,14.3,54.3,1015.16
82.6,17.49,63.94,1020.02
45.4,31.1,69.51,1010.84
66.33,19.77,56.65,1020.67
45.33,28.61,72.29,1011.61
67.12,13.52,41.48,1014.46
84.14,13.52,40.83,1008.31
80.81,17.57,46.21,1014.09
49.13,28.18,60.07,1016.34
87.29,14.29,46.18,1017.01
52.95,18.12,43.69,1016.91
68.92,31.27,73.91,1003.72
85.21,26.24,77.95,1014.19
88.56,7.44,41.04,1021.84
55.09,29.78,74.78,1009.28
48.64,23.37,65.46,1016.25
87.85,10.62,39.58,1011.9
87.42,5.84,43.02,1013.88
62.75,14.51,53.82,1016.46
94.86,11.31,42.02,1001.18
63.54,11.25,40.67,1011.64
69.46,9.18,39.42,1025.41
74.66,19.82,58.16,1016.76
80.57,24.77,58.41,1013.78
84.7,9.66,41.06,1021.21
72.6,21.96,59.8,1016.72
52.63,18.59,43.14,1011.92
82.01,24.75,69.89,1015.29
75.22,24.37,63.47,1012.77
51.05,29.6,67.79,1010.37
80.1,25.32,61.25,1011.56
81.58,16.15,41.85,1016.54
65.94,15.74,71.14,1019.65
86.74,5.97,36.25,1029.65
62.57,15.84,52.72,1026.45
57.37,14.84,44.63,1019.28
88.91,12.25,48.79,1017.44
72.26,27.38,70.04,1011.18
74.98,8.76,41.48,1018.49
71.19,15.54,39.31,1009.69
62.82,18.71,39.39,1014.09
55.31,13.06,41.78,1012.3
71.57,12.72,40.71,1016.02
59.16,19.83,39.39,1013.73
40.8,27.23,49.16,1004.03
67.63,24.27,68.28,1005.43
97.2,11.8,40.66,1017.13
91.16,6.76,36.25,1028.31
64.81,25.99,63.07,1012.5
85.61,16.3,39.63,1004.64
93.42,16.5,49.39,1018.35
77.36,10.59,42.49,1009.59
67.03,26.05,65.59,1012.78
89.45,19.5,40.79,1003.8
54.84,22.21,45.01,1012.22
53.48,17.86,45,1023.25
54.47,29.96,70.04,1010.15
43.36,19.08,44.63,1020.14
48.92,23.59,47.43,1006.64
81.22,3.38,39.64,1011
60.35,26.39,66.49,1012.96
75.98,8.99,39.04,1021.99
74.24,10.91,41.04,1026.57
85.21,13.08,39.82,1012.27
68.46,23.95,58.46,1017.5
78.31,15.64,43.71,1024.51
89.25,18.78,54.2,1012.05
68.57,20.65,50.59,1016.22
67.38,4.96,40.07,1011.8
53.6,23.51,57.32,1012.55
91.69,5.99,35.79,1011.56
78.21,23.65,66.05,1019.6
94.19,5.17,39.33,1009.68
37.19,26.38,49.5,1012.82
83.53,6.02,43.65,1013.85
79.45,23.2,61.02,1009.63
99.9,8.57,39.69,1000.91
50.39,30.72,71.58,1009.98
74.33,21.52,50.66,1013.56
83.66,22.93,62.26,1011.25
89.48,5.71,41.31,1003.24
64.59,18.62,44.06,1017.76
75.68,27.88,68.94,1007.68
64.18,22.32,59.8,1016.82
70.09,14.55,42.74,1028.41
70.58,17.83,44.92,1025.04
99.28,9.68,39.96,1026.09
81.89,19.41,49.39,1020.84
87.99,13.22,44.92,1023.84
88.21,12.24,44.92,1023.74
91.29,19.21,58.49,1011.7
52.72,29.74,70.32,1008.1
67.5,23.28,60.84,1017.91
92.05,8.02,41.92,1029.8
63.23,22.47,48.6,1002.33
90.88,27.51,73.77,1002.42
74.91,17.51,44.9,1009.05
85.39,23.22,66.56,1002.47
96.98,11.73,40.64,1020.68
56.28,21.19,67.71,1006.65
65.62,5.48,40.07,1019.63
55.32,24.26,66.44,1011.33
88.88,12.32,41.62,1012.88
39.49,31.26,68.94,1005.94
54.59,32.09,72.86,1003.47
57.19,24.98,60.32,1015.63
45.06,27.48,61.41,1012.2
40.62,21.04,45.09,1014.19
90.21,27.75,70.4,1006.65
90.91,22.79,71.77,1005.75
74.96,24.22,68.51,1013.23
54.21,27.06,64.45,1008.72
63.62,29.25,71.94,1007.18
50.04,26.86,68.08,1012.99
51.23,29.64,67.79,1009.99
82.71,19.92,63.31,1015.02
92.04,18.5,51.43,1010.82
90.67,23.71,60.23,1009.76
91.14,14.39,44.84,1023.55
70.43,19.3,56.65,1020.55
66.63,24.65,52.36,1014.76
86.95,13.5,45.51,1015.33
96.69,9.82,41.26,1007.71
70.88,18.4,44.06,1017.36
47.14,28.12,44.89,1009.18
63.36,17.15,43.69,1017.05
60.58,30.69,73.67,1006.14
54.3,28.82,65.71,1014.24
65.09,21.3,48.92,1010.92
48.16,30.58,70.04,1010.4
81.51,21.17,52.3,1009.36
68.57,9.87,41.82,1033.04
73.16,22.18,59.8,1016.77
80.88,24.39,63.21,1012.59
85.4,10.73,44.92,1025.1
75.77,9.38,40.46,1019.29
75.76,20.27,57.76,1016.66
70.21,24.82,66.48,1006.4
55.53,16.55,41.66,1011.45
80.48,20.73,59.87,1019.08
72.41,9.51,39.22,1015.3
83.25,8.63,43.79,1016.08
82.12,6.48,40.27,1010.55
94.75,14.95,43.52,1022.43
95.79,5.76,45.87,1010.83
86.02,10.94,39.04,1021.81
78.29,15.87,41.16,1005.85
82.23,12.42,38.25,1012.76
52.86,29.12,58.84,1001.31
60.66,29.12,51.43,1005.93
62.77,19.08,41.1,1001.96
65.54,31.06,67.17,1007.62
95.4,5.72,39.33,1009.96
51.78,26.52,65.06,1013.4
63.62,13.84,44.9,1007.58
83.09,13.03,39.52,1016.68
61.81,25.94,66.49,1012.83
68.24,16.64,53.82,1015.13
72.41,14.13,40.75,1016.05
79.64,13.65,39.28,1012.97
66.95,14.5,44.47,1028.2
91.98,19.8,51.19,1008.25
64.96,25.2,63.76,1009.78
88.93,20.66,51.19,1008.81
85.62,12.07,43.71,1025.53
84,25.64,70.72,1010.16
89.41,23.33,72.99,1009.33
67.4,29.41,64.05,1009.82
76.75,16.6,53.16,1014.5
89.06,27.53,72.58,1009.13
64.02,20.62,43.43,1009.93
64.12,26.02,71.94,1009.38
81.22,12.75,44.2,1017.59
100.13,12.87,48.04,1012.47
58.07,25.77,62.96,1019.86
63.42,14.84,41.48,1017.26
83.32,7.41,40.71,1023.07
74.28,8.87,41.82,1033.3
71.91,9.69,40.46,1019.1
85.8,16.17,46.97,1014.22
55.58,26.24,49.82,1014.9
69.7,13.78,43.22,1011.31
63.79,26.3,67.07,1006.26
86.59,17.37,57.76,1016
48.28,23.6,48.98,1015.41
80.42,8.3,36.08,1020.63
98.58,18.86,42.18,1001.16
72.83,22.12,49.39,1019.8
56.07,28.41,75.6,1018.48
67.13,29.42,71.32,1002.26
84.49,18.61,67.71,1004.07
68.37,27.57,69.84,1004.91
86.07,12.83,41.5,1013.12
83.82,9.64,39.85,1012.9
74.86,19.13,58.66,1013.32
53.52,15.92,40.56,1020.79
80.61,24.64,72.24,1011.37
43.56,27.62,63.9,1013.11
89.35,8.9,36.24,1013.29
97.28,9.55,43.99,1020.5
80.49,10.57,36.71,1022.62
88.9,19.8,57.25,1010.84
49.7,25.63,56.85,1012.68
68.64,24.7,58.46,1015.58
98.58,15.26,46.18,1013.68
82.12,20.06,52.84,1004.21
78.32,19.84,56.89,1013.23
86.04,11.49,44.63,1020.44
91.36,23.74,72.43,1007.99
81.02,22.62,51.3,1012.36
76.05,29.53,72.39,998.47
71.81,21.32,48.14,1016.57
82.13,20.3,58.46,1015.93
74.27,16.97,44.92,1025.21
71.32,12.07,41.17,1013.54
74.59,7.46,41.82,1032.67
84.44,19.2,54.2,1011.46
43.39,28.64,66.54,1010.43
87.2,13.56,41.48,1008.53
77.11,17.4,44.9,1020.5
82.81,14.08,40.1,1015.48
85.67,27.11,69.75,1009.74
95.58,20.92,70.02,1010.23
74.46,16.18,44.9,1021.3
90.02,15.57,44.68,1022.01
81.93,10.37,39.04,1023.95
86.29,19.6,59.21,1017.65
85.43,9.22,40.92,1021.83
71.66,27.76,72.99,1007.81
71.33,28.68,70.72,1009.43
67.72,20.95,48.14,1013.3
84.23,9.06,39.3,1019.73
74.44,9.21,39.72,1019.54
71.48,13.65,42.74,1026.58
56.3,31.79,76.2,1007.89
68.13,14.32,44.6,1013.85
68.35,26.28,75.23,1011.44
85.23,7.69,43.02,1014.51
79.78,14.44,40.1,1015.51
98.98,9.19,41.01,1022.14
72.87,13.35,41.39,1019.17
90.93,23.04,74.22,1009.52
72.94,4.83,38.44,1015.35
72.3,17.29,42.86,1014.38
77.74,8.73,36.18,1013.66
78.29,26.21,70.32,1007
69.1,23.72,58.62,1016.65
55.79,29.27,64.69,1006.85
75.09,10.4,40.43,1025.46
88.98,12.19,40.75,1015.13
64.26,20.4,54.9,1016.68
25.89,34.3,74.67,1015.98
59.18,27.56,68.08,1010.8
67.48,30.9,70.8,1008.48
89.85,14.85,58.59,1014.04
50.62,16.42,40.56,1020.36
83.97,16.45,63.31,1015.96
96.51,10.14,42.02,1003.19
80.09,9.53,41.44,1018.01
84.02,17.01,49.15,1021.83
61.97,23.94,62.08,1022.47
88.51,15.95,49.25,1019.04
81.83,11.15,41.26,1022.67
90.63,25.56,70.32,1009.07
73.37,27.16,66.44,1011.2
77.5,26.71,77.95,1012.13
57.46,29.56,74.22,1007.45
51.91,31.19,70.94,1007.29
79.14,6.86,41.17,1020.12
69.24,12.36,41.74,1020.58
41.85,32.82,68.31,1010.44
95.1,25.3,70.98,1007.22
74.53,8.71,41.82,1033.08
64.85,13.34,40.8,1026.56
57.07,14.2,43.02,1012.18
62.9,23.74,65.34,1013.7
72.21,16.9,44.88,1018.14
65.99,28.54,71.94,1007.4
73.67,30.15,69.88,1007.2
88.59,14.33,42.86,1010.82
61.19,25.57,59.43,1008.88
49.37,30.55,70.04,1010.51
48.65,28.04,74.33,1013.53
56.18,26.39,49.16,1005.68
71.56,15.3,41.76,1022.57
