mpg,cylinders,horsepower,weight,acceleration,model-year,displacement
21,4,86,2226,16.5,72,122
13,8,165,4274,12,72,350
14,8,175,4385,12,72,400
15,8,150,4135,13.5,72,318
14,8,153,4129,13,72,351
17,8,150,3672,11.5,72,304
11,8,208,4633,11,72,429
13,8,155,4502,13.5,72,350
12,8,160,4456,13.5,72,350
13,8,190,4422,12.5,72,400
19,3,97,2330,13.5,72,70
15,8,150,3892,12.5,72,304
13,8,130,4098,14,72,307
13,8,140,4294,16,72,302
14,8,150,4077,14,72,318
18,4,112,2933,14.5,72,121
22,4,76,2511,18,72,121
21,4,87,2979,19.5,72,120
26,4,69,2189,18,72,96
22,4,86,2395,16,72,122
28,4,92,2288,17,72,97
23,4,97,2506,14.5,72,120
28,4,80,2164,15,72,98
27,4,88,2100,16.5,72,97
13,8,175,4100,13,73,350
14,8,150,3672,11.5,73,304
13,8,145,3988,13,73,350
14,8,137,4042,14.5,73,302
15,8,150,3777,12.5,73,318
12,8,198,4952,11.5,73,429
13,8,150,4464,12,73,400
13,8,158,4363,13,73,351
14,8,150,4237,14.5,73,318
13,8,215,4735,11,73,440
12,8,225,4951,11,73,455
13,8,175,3821,11,73,360
18,6,105,3121,16.5,73,225
16,6,100,3278,18,73,250
18,6,100,2945,16,73,232
18,6,88,3021,16.5,73,250
23,6,95,2904,16,73,198
26,4,46,1950,21,73,97
11,8,150,4997,14,73,400
12,8,167,4906,12.5,73,400
13,8,170,4654,13,73,360
12,8,180,4499,12.5,73,350
18,6,100,2789,15,73,232
20,4,88,2279,19,73,97
21,4,72,2401,19.5,73,140
22,4,94,2379,16.5,73,108
18,3,90,2124,13.5,73,70
19,4,85,2310,18.5,73,122
21,6,107,2472,14,73,155
26,4,90,2265,15.5,73,98
15,8,145,4082,13,73,350
16,8,230,4278,9.5,73,400
29,4,49,1867,19.5,73,68
24,4,75,2158,15.5,73,116
20,4,91,2582,14,73,114
19,4,112,2868,15.5,73,121
15,8,150,3399,11,73,318
24,4,110,2660,14,73,121
20,6,122,2807,13.5,73,156
11,8,180,3664,11,73,350
20,6,95,3102,16.5,74,198
21,6,104.1894,2875,17,74,200
19,6,100,2901,16,74,232
15,6,100,3336,17,74,250
31,4,67,1950,19,74,79
26,4,80,2451,16.5,74,122
32,4,65,1836,21,74,71
25,4,75,2542,17,74,140
16,6,100,3781,17,74,250
16,6,110,3632,18,74,258
18,6,105,3613,16.5,74,225
16,8,140,4141,14,74,302
13,8,150,4699,14.5,74,350
14,8,150,4457,13.5,74,318
14,8,140,4638,16,74,302
14,8,150,4257,15.5,74,304
29,4,83,2219,16.5,74,98
26,4,67,1963,15.5,74,79
26,4,78,2300,14.5,74,97
31,4,52,1649,16.5,74,76
32,4,61,2003,19,74,83
28,4,75,2125,14.5,74,90
24,4,75,2108,15.5,74,90
26,4,75,2246,14,74,116
24,4,97,2489,15,74,120
26,4,93,2391,15.5,74,108
31,4,67,2000,16,74,79
19,6,95,3264,16,75,225
18,6,105,3459,16,75,250
15,6,72,3432,21,75,250
15,6,72,3158,19.5,75,250
16,8,170,4668,11.5,75,400
15,8,145,4440,14,75,350
16,8,150,4498,14.5,75,318
14,8,148,4657,13.5,75,351
17,6,110,3907,21,75,231
16,6,105,3897,18.5,75,250
15,6,110,3730,19,75,258
18,6,95,3785,19,75,225
21,6,110,3039,15,75,231
20,8,110,3221,13.5,75,262
13,8,129,3169,12,75,302
29,4,75,2171,16,75,97
23,4,83,2639,17,75,140
20,6,100,2914,16,75,232
23,4,78,2592,18.5,75,140
24,4,96,2702,13.5,75,134
25,4,71,2223,16.5,75,90
24,4,97,2545,17,75,119
18,6,97,2984,14.5,75,171
29,4,70,1937,14,75,90
19,6,90,3211,17,75,232
23,4,95,2694,15,75,115
23,4,88,2957,17,75,120
22,4,98,2945,14.5,75,121
25,4,115,2671,13.5,75,121
33,4,53,1795,17.5,75,91
28,4,86,2464,15.5,76,107
25,4,81,2220,16.9,76,116
25,4,92,2572,14.9,76,140
26,4,79,2255,17.7,76,98
27,4,83,2202,15.3,76,101
17.5,8,140,4215,13,76,305
16,8,150,4190,13,76,318
15.5,8,120,3962,13.9,76,304
14.5,8,152,4215,12.8,76,351
22,6,100,3233,15.4,76,225
22,6,105,3353,14.5,76,250
24,6,81,3012,17.6,76,200
22.5,6,90,3085,17.6,76,232
29,4,52,2035,22.2,76,85
24.5,4,60,2164,22.1,76,98
29,4,70,1937,14.2,76,90
33,4,53,1795,17.4,76,91
20,6,100,3651,17.7,76,225
18,6,78,3574,21,76,250
18.5,6,110,3645,16.2,76,250
17.5,6,95,3193,17.8,76,258
29.5,4,71,1825,12.2,76,97
32,4,70,1990,17,76,85
28,4,75,2155,16.4,76,97
26.5,4,72,2565,13.6,76,140
20,4,102,3150,15.7,76,130
13,8,150,3940,13.2,76,318
19,4,88,3270,21.9,76,120
19,6,108,2930,15.5,76,156
16.5,6,120,3820,16.7,76,168
16.5,8,180,4380,12.1,76,350
13,8,145,4055,12,76,350
13,8,130,3870,15,76,302
13,8,150,3755,14,76,318
31.5,4,68,2045,18.5,77,98
30,4,80,2155,14.8,77,111
36,4,58,1825,18.6,77,79
25.5,4,96,2300,15.5,77,122
33.5,4,70,1945,16.8,77,85
17.5,8,145,3880,12.5,77,305
17,8,110,4060,19,77,260
15.5,8,145,4140,13.7,77,318
15,8,130,4295,14.9,77,302
17.5,6,110,3520,16.4,77,250
20.5,6,105,3425,16.9,77,231
19,6,100,3630,17.7,77,225
18.5,6,98,3525,19,77,250
16,8,180,4220,11.1,77,400
15.5,8,170,4165,11.4,77,350
15.5,8,190,4325,12.2,77,400
16,8,149,4335,14.5,77,351
29,4,78,1940,14.5,77,97
24.5,4,88,2740,16,77,151
26,4,75,2265,18.2,77,97
25.5,4,89,2755,15.8,77,140
30.5,4,63,2051,17,77,98
33.5,4,83,2075,15.9,77,98
30,4,67,1985,16.4,77,97
30.5,4,78,2190,14.1,77,97
22,6,97,2815,14.5,77,146
21.5,4,110,2600,12.8,77,121
21.5,3,110,2720,13.5,77,80
43.1,4,48,1985,21.5,78,90
36.1,4,66,1800,14.4,78,98
32.8,4,52,1985,19.4,78,78
39.4,4,70,2070,18.6,78,85
36.1,4,60,1800,16.4,78,91
19.9,8,110,3365,15.5,78,260
19.4,8,140,3735,13.2,78,318
20.2,8,139,3570,12.8,78,302
19.2,6,105,3535,19.2,78,231
20.5,6,95,3155,18.2,78,200
20.2,6,85,2965,15.8,78,200
25.1,4,88,2720,15.4,78,140
20.5,6,100,3430,17.2,78,225
19.4,6,90,3210,17.2,78,232
20.6,6,105,3380,15.8,78,231
20.8,6,85,3070,16.7,78,200
18.6,6,110,3620,18.7,78,225
18.1,6,120,3410,15.1,78,258
19.2,8,145,3425,13.2,78,305
17.7,6,165,3445,13.4,78,231
18.1,8,139,3205,11.2,78,302
17.5,8,140,4080,13.7,78,318
30,4,68,2155,16.5,78,98
27.5,4,95,2560,14.2,78,134
27.2,4,97,2300,14.7,78,119
30.9,4,75,2230,14.5,78,105
21.1,4,95,2515,14.8,78,134
23.2,4,105,2745,16.7,78,156
23.8,4,85,2855,17.6,78,151
23.9,4,97,2405,14.9,78,119
20.3,5,103,2830,15.9,78,131
17,6,125,3140,13.6,78,163
21.6,4,115,2795,15.7,78,121
16.2,6,133,3410,15.8,78,163
31.5,4,71,1990,14.9,78,89
29.5,4,68,2135,16.6,78,98
21.5,6,115,3245,15.4,79,231
19.8,6,85,2990,18.2,79,200
22.3,4,88,2890,17.3,79,140
20.2,6,90,3265,18.2,79,232
20.6,6,110,3360,16.6,79,225
17,8,130,3840,15.4,79,305
17.6,8,129,3725,13.4,79,302
16.5,8,138,3955,13.2,79,351
18.2,8,135,3830,15.2,79,318
16.9,8,155,4360,14.9,79,350
15.5,8,142,4054,14.3,79,351
19.2,8,125,3605,15,79,267
18.5,8,150,3940,13,79,360
31.9,4,71,1925,14,79,89
34.1,4,65,1975,15.2,79,86
35.7,4,80,1915,14.4,79,98
27.4,4,80,2670,15,79,121
25.4,5,77,3530,20.1,79,183
23,8,125,3900,17.4,79,350
27.2,4,71,3190,24.8,79,141
23.9,8,90,3420,22.2,79,260
34.2,4,70,2200,13.2,79,105
34.5,4,70,2150,14.9,79,105
31.8,4,65,2020,19.2,79,85
37.3,4,69,2130,14.7,79,91
28.4,4,90,2670,16,79,151
28.8,6,115,2595,11.3,79,173
26.8,6,115,2700,12.9,79,173
33.5,4,90,2556,13.2,79,151
41.5,4,76,2144,14.7,80,98
38.1,4,60,1968,18.8,80,89
32.1,4,70,2120,15.5,80,98
37.2,4,65,2019,16.4,80,86
28,4,90,2678,16.5,80,151
26.4,4,88,2870,18.1,80,140
24.3,4,90,3003,20.1,80,151
19.1,6,90,3381,18.7,80,225
34.3,4,78,2188,15.8,80,97
29.8,4,90,2711,15.5,80,134
31.3,4,75,2542,17.5,80,120
37,4,92,2434,15,80,119
32.2,4,75,2265,15.2,80,108
46.6,4,65,2110,17.9,80,86
27.9,4,105,2800,14.4,80,156
40.8,4,65,2110,19.2,80,85
44.3,4,48,2085,21.7,80,90
43.4,4,48,2335,23.7,80,90
36.4,5,67,2950,19.9,80,121
30,4,67,3250,21.8,80,146
44.6,4,67,1850,13.8,80,91
40.9,4,67,1835,17.3,80,85
33.8,4,67,2145,18,80,97
29.8,4,62,1845,15.3,80,89
32.7,6,132,2910,11.4,80,168
23.7,3,100,2420,12.5,80,70
35,4,88,2500,15.1,80,122
23.6,4,80,2905,14.3,80,140
32.4,4,72,2290,17,80,107
27.2,4,84,2490,15.7,81,135
26.6,4,84,2635,16.4,81,151
25.8,4,92,2620,14.4,81,156
23.5,6,110,2725,12.6,81,173
30,4,84,2385,12.9,81,135
39.1,4,58,1755,16.9,81,79
39,4,64,1875,16.4,81,86
35.1,4,60,1760,16.1,81,81
32.3,4,67,2065,17.8,81,97
37,4,65,1975,19.4,81,85
37.7,4,62,2050,17.3,81,89
34.1,4,68,1985,16,81,91
34.7,4,63,2215,14.9,81,105
34.4,4,65,2045,16.2,81,98
29.9,4,65,2380,20.7,81,98
33,4,74,2190,14.2,81,105
34.5,4,75,2320,15.8,81,100
33.7,4,75,2210,14.4,81,107
32.4,4,75,2350,16.8,81,108
32.9,4,100,2615,14.8,81,119
31.6,4,74,2635,18.3,81,120
28.1,4,80,3230,20.4,81,141
30.7,6,76,3160,19.6,81,145
25.4,6,116,2900,12.6,81,168
24.2,6,120,2930,13.8,81,146
22.4,6,110,3415,15.8,81,231
26.6,8,105,3725,19,81,350
20.2,6,88,3060,17.1,81,200
17.6,6,85,3465,16.6,81,225
28,4,88,2605,19.6,82,112
27,4,88,2640,18.6,82,112
34,4,88,2395,18,82,112
31,4,85,2575,16.2,82,112
29,4,84,2525,16,82,135
27,4,90,2735,18,82,151
24,4,92,2865,16.4,82,140
23,4,85,3035,20.5,82,151
36,4,74,1980,15.3,82,105
37,4,68,2025,18.2,82,91
31,4,68,1970,17.6,82,91
38,4,63,2125,14.7,82,105
36,4,70,2125,17.3,82,98
36,4,88,2160,14.5,82,120
36,4,75,2205,14.5,82,107
34,4,70,2245,16.9,82,108
38,4,67,1965,15,82,91
32,4,67,1965,15.7,82,91
38,4,67,1995,16.2,82,91
25,6,110,2945,16.4,82,181
38,6,85,3015,17,82,262
26,4,92,2585,14.5,82,156
22,6,112,2835,14.7,82,232
32,4,96,2665,13.9,82,144
36,4,84,2370,13,82,135
27,4,90,2950,17.3,82,151
27,4,86,2790,15.6,82,140
44,4,52,2130,24.6,82,97
32,4,84,2295,11.6,82,135
28,4,79,2625,18.6,82,120
31,4,82,2720,19.4,82,119
