Aggregate Followers,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments
130000,2014,4.4,15,50800000,5000000,2061,1,-4,11724815,30208,2150,4926
124000,2014,7.2,8,76100000,55000000,3303,1,14,2028767,3829,500,665
11444,2014,5,15,32500000,5000000,2867,1,0,105480,352,45,85
47200,2014,6.8,12,83300000,132000000,32,1,8,1223790,2934,123,226
3603000,2014,5.9,12,59200000,50000000,3826,3,0,2117798,2124,485,626
370000,2014,5.6,1,23200000,100000000,2658,1,0,355563,1568,106,267
21586000,2014,6.1,1,134000000,25000000,2663,1,0,8429023,27484,977,2195
154400,2014,6.4,12,132000000,103000000,3948,2,4,3849768,9783,704,1151
250000,2014,6.2,1,58600000,100000000,3372,1,7,3305047,11733,1077,4319
,2014,6.6,9,3090000,5000000,371,1,1,909596,2214,186,632
217000,2014,7.5,8,37400,5000000,,1,0,827239,3221,89,432
3678000,2014,5.7,1,10500000,35000000,2486,1,17,3466458,6096,411,977
9224,2014,7.5,9,52100000,20000000,2179,1,-5,3743181,16782,565,4973
,2014,5.4,3,176000,30000000,59,1,0,3726728,6221,405,1074
804300,2014,5.5,1,17200000,95000000,2875,1,0,23360,36,5,5
4521000,2014,5.1,8,38500000,40000000,3062,1,0,2757667,3030,418,251
8620000,2014,6.6,10,13800000,65000000,2894,2,0,5223362,18770,627,2796
3185900,2014,5.5,9,59700000,22000000,3260,1,2,943306,3006,325,1401
33500,2014,5.8,3,20200,6000000,27,1,0,2426078,9230,184,373
269849,2014,7.3,8,44100000,13000000,18,1,20,4176181,9463,310,885
216000,2014,6.1,1,89300000,48000000,21,3,6,1544390,2975,136,380
727000,2014,4.8,8,84500000,20000000,3465,1,0,3429055,7682,675,727
1260000,2014,5.9,1,191000000,125000000,3845,1,0,7908038,27312,3439,8533
11783000,2014,6.1,8,26000000,8000000,2809,1,0,6132551,14539,653,846
,2014,7.1,2,2590000,9500000,1586,1,3,134353,280,43,308
4520000,2014,6.8,1,203000000,200000000,4324,2,6,386857,4996,233,864
,2014,6.9,3,924000,2000000,147,1,-3,6501107,14139,890,2928
48231,2014,6.6,3,26800000,26000000,8,1,3,5546710,15351,535,1271
10364000,2014,7.3,12,50200000,50000000,12,1,9,5165441,17476,871,3229
1280000,2014,6.8,12,50800000,60000000,3464,1,5,2545852,3964,378,554
,2014,4.8,7,4240,7000000,,1,0,330363,406,52,92
,2014,7.1,10,10700000,12600000,809,1,-1,2897407,5953,153,569
1800000,2014,7.2,1,102000000,55000000,3236,1,0,7075635,15858,574,1966
1480000,2014,6.1,1,39300000,90000000,90,3,0,14453673,33092,1336,5005
4240000,2014,7.9,3,125000000,12000000,3173,1,7,32626778,370552,4752,38363
818000,2014,7,8,2820000,,432,1,0,10747,4,1,1
2740000,2014,6.1,10,33600000,25000000,103,1,-2,4790221,4740,454,773
184100,2014,6.5,3,45100000,25000000,702,1,6,523457,2187,149,565
759800,2014,7.4,3,2720000,20000000,461,1,10,1303646,3306,211,564
2613000,2014,7.5,2,255000000,250000000,3875,6,3,3554189,14152,262,1782
25748,2014,6.6,3,2430000,16000000,4,1,2,26528,58,1,8
20700,2014,7.3,8,54200000,22000000,2023,1,11,24809,277,12,52
31030000,2014,6.8,2,337000000,125000000,4151,3,2,3305417,14684,332,1176
275873,2014,5,3,2820000,12000000,,1,0,309610,729,97,113
,2014,8.1,9,91100000,14000000,747,1,9,3047849,11748,253,1237
6619435,2014,6.7,1,6110000,44000000,78,1,0,6231191,13331,1265,3430
5563500,2014,7.5,10,47100000,50000000,3003,1,2,1325872,4829,104,378
1174806,2014,4.2,1,18800000,70000000,2104,1,0,797229,1606,630,456
4690000,2014,7.8,12,258000000,60000000,3775,1,-2,439159,1847,105,289
14586,2014,6.3,6,5980000,14000000,1841,1,2,381071,238,27,43
4734000,2014,6.8,1,102000000,34000000,173,1,2,3156436,18124,213,2753
3849,2014,6.1,3,78000000,70000000,3083,1,0,10649,21,1,0
148000,2014,6.3,1,25000000,15000000,2776,1,0,1935432,3089,155,567
,2014,5.8,12,64200000,42000000,3427,1,0,2269032,3046,546,554
226000,2014,7.1,8,512000,100000,20,1,2,1223891,1309,148,239
2731000,2014,6,8,83900000,40000000,3205,1,-1,8479994,35071,2233,3479
49424,2014,6.5,1,71500000,9000000,2805,2,-3,1142295,3895,193,882
420000,2014,4.7,15,2750000,6500000,685,1,0,4092871,8781,794,2046
9842,2014,6.4,10,1110000,12250000,5,1,0,702,1,0,1
,2014,6.8,3,5000,11712310.56,2,1,0,253631,170,11,58
8204,2014,7.8,9,35900000,15000000,15,1,8,3226251,18240,261,2104
1899400,2014,7.2,3,4190000,22500000,320,1,7,3281842,4968,445,2099
3086,2014,4.9,3,26500000,1000000,2602,2,-6,698,16,1,9
24388000,2014,5.7,8,65200000,24000000,2225,2,0,2063089,5858,336,346
5987,2014,6.3,3,23000000,100000000,3455,1,0,14141585,36646,1459,6811
2814900,2014,5.8,1,245000000,210000000,4233,4,0,170909,791,362,230
180100,2014,5.4,8,1820000,2800000,449,1,0,473100,670,104,380
269000,2014,7.2,9,116000000,65000000,3131,1,0,6637551,19833,815,3403
2536000,2014,6.8,10,3320000,6000000,291,1,10,476747,2079,166,232
585000,2014,6.6,3,30100000,15000000,794,1,0,280566,477,56,82
858000,2014,8.6,3,13100000,3300000,42,1,2,7750223,17541,631,2760
,2014,6.9,3,280000,2487820.27,2,1,11,166612,571,36,70
781200,2014,7.2,2,37900000,15000000,1061,1,0,5976092,9343,649,1333
,2014,8.2,8,3080000,3300000,4,1,7,697105,1023,39,429
1810000,2014,6.2,3,22500,60000000,2965,1,0,719976,1312,76,189
1818778,2014,6.7,8,3590000,6000000,68,1,0,865690,1375,79,67
10280000,2014,8.1,1,234000000,200000000,3996,7,3,2285,9,0,1
168700,2014,6.2,9,717000,12000000,2,1,0,550734,894,44,77
6180000,2015,7.3,1,643000000,150000000,4274,4,1,9143740,34746,1074,5107
10070000,2015,7.8,1,458000000,250000000,4276,2,21,10366624,31552,989,3843
11890000,2015,7.4,1,350000000,190000000,4004,7,-17,59056,330,8,39
232000,2015,8.6,12,345000000,175000000,3946,1,2,1438926,4632,262,496
250000,2015,6.6,1,325000000,74000000,4301,2,-2,1341909,1607,764,48
7336000,2015,6.7,8,183000000,29000000,3473,2,1,9214467,39824,998,1987
6605000,2015,7.8,3,171000000,150000000,3956,5,3,8748596,20352,649,1842
5070000,2015,6.7,8,177000000,135000000,3708,1,-2,10341783,24413,1675,3426
946000,2015,4.2,3,166000000,40000000,3646,1,9,31859569,49900,13960,9119
184000,2015,6.1,8,162000000,74000000,3641,2,0,5536822,29411,1840,1281
9737600,2015,6.4,1,154000000,110000000,3777,1,3,12632836,36508,2210,7559
768700,2015,8.3,1,153000000,150000000,3702,4,-4,2732371,13030,497,1774
55618,2015,8.3,9,135000000,28000000,2757,1,5,848970,12607,237,1560
4240000,2015,6.4,2,130000000,110000000,3875,2,-6,2834800,5664,5746,66
265000,2015,7.3,1,110000000,65000000,3711,1,0,6649290,20750,750,1666
2014000,2015,6.7,12,105000000,35000000,3158,1,1,9511288,19903,2581,2955
1198000,2015,6.6,12,93200000,190000000,3972,1,1,999867,4212,66,250
2939000,2015,6.1,8,90400000,40000000,3175,1,6,10078326,26565,1418,2395
3877901,2015,6.8,1,89400000,155000000,3758,5,1,84870,265,13,63
10988000,2015,6.6,8,81300000,68000000,3442,2,5,6711914,29903,984,1767
1618000,2015,4.3,1,71000000,30000000,90,2,15,2389347,8809,935,892
2466000,2015,5.6,1,71000000,88000000,3723,1,10,5340100,26134,2007,3717
8392000,2015,6.2,8,65900000,14800000,3355,2,7,5128288,18475,858,1579
2284000,2015,6.7,8,64500000,23000000,3003,1,-8,4826940,10521,478,755
2347000,2015,6.3,2,54900000,31000000,3411,5,13,2554327,10062,464,871
881000,2015,4,1,52700000,120000000,3995,1,20,7560211,24168,3524,7139
1066,2015,5,15,47400000,35000000,3240,1,-5,3651828,13998,969,2205
7460000,2015,5.5,1,47400000,176000000,3181,1,0,3920842,10535,565,1668
776000,2015,7.3,3,42500000,25000000,2991,1,11,11036701,50002,1005,3525
2113,2015,7,1,41900000,20000000,2855,1,0,2947239,19201,625,1842
324925,2015,7.2,3,37400000,34000000,3366,1,19,2393017,13291,369,584
1655987,2015,7.6,1,36100000,5000000,1648,1,11,2513544,6970,270,1105
4599000,2015,4.6,6,35400000,4000000,2602,1,16,5588384,15144,913,1499
1630000,2015,5,1,34500000,35000000,3003,1,2,6964819,26601,1111,1293
6714000,2015,6.6,8,34000000,8500000,2575,1,2,12792898,56001,2083,4102
675000,2015,7.4,10,33300000,11000000,258,1,19,6495,82,3,7
788000,2015,7.1,3,32400000,30000000,3108,1,6,1841293,5879,314,634
4184000,2015,6.9,3,31400000,12000000,3031,1,6,2854910,23254,459,1087
2007000,2015,5.2,8,25800000,3300000,2666,1,7,4442147,10605,691,2739
5699,2015,5.5,1,19000000,10000000,2766,2,-38,11037833,36874,1885,4360
1887,2015,6.1,3,23500000,18000000,1603,1,25,638374,4018,130,269
253499,2015,6.4,8,22300000,12000000,2893,1,7,6646785,16041,955,2787
209000,2015,5.9,8,16100000,35000000,3261,1,10,13154873,46684,3565,8578
986572,2015,7.5,8,16800000,700000,2002,1,2,50444,238,3,28
1891977,2015,5.1,8,12300000,14000000,2880,2,9,11496,194,9,31
155000,2015,6.5,1,10900000,28000000,2778,1,21,2996539,1874,32,189
1520000,2015,5.8,8,10600000,40000000,2816,1,3,3098749,4311,341,881
3045000,2015,5.5,8,7610000,60000000,2648,1,-2,3850758,13363,453,1276
1334000,2015,5.4,3,7100000,70000000,2567,1,4,2409338,6923,340,714
2208,2015,8.2,8,6740000,8000000,34,1,15,4032265,18398,302,1298
3841,2015,4.5,15,1710000,8495000,420,1,-2,1364537,3824,689,772
3744000,2015,5.6,3,131000,4500000,79,1,10,5085068,14359,600,2468
129000,2015,7.3,3,129000,4000000,14,1,0,63724,115,28,14
1188000,2015,6.3,3,106000,1500000,22,1,14,44963,109,27,42
,2015,7.8,1,169000000,130000000,3856,1,18,9597644,32558,2672,8359
,2015,7.7,1,49500000,30000000,2772,1,6,11476882,40496,1383,4435
,2015,7.7,3,25400000,15000000,1255,1,3,419470,2218,46,239
,2015,7.6,6,34600000,75000000,3638,1,8,5216680,20010,500,2300
,2015,7.1,8,201000000,95000000,3845,1,2,10164908,22726,4245,5262
,2015,7,1,31600000,49000000,3201,1,8,7384182,23597,786,3481
,2015,6.9,8,444000,1900000,200,1,0,890619,6352,293,700
,2015,6.6,8,26400000,50000000,3171,1,3,5671767,10073,480,1712
,2015,6.6,1,33100000,10000000,1573,2,26,831044,2427,99,247
,2015,6.4,4,1210000,50000000,66,1,4,3701061,9325,641,1859
,2015,5.5,15,21000000,37000000,2815,1,13,7119456,18803,1128,2290
,2015,5.4,8,10200000,35000000,2777,1,7,3450614,6823,325,409
,2015,5.4,1,12300000,3000000,,1,10,66872,400,67,201
,2015,4.4,15,22600000,100000,2720,1,-5,659772,2841,431,606
,,,,,,,,,,,,
